callerfilename,callermodule,callerfunction,calleefilename,calleemodule,calleefunction
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,_operator,_operator,len
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,turtle,turtle,plt.xlabel
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_link.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,++imported++,IPython.display,option_display.addAction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,_operator,_operator,len
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_convergence,turtle,turtle,plt.show
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_x.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,turtle,turtle,dests_new.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,asyncio,asyncio,show_names_action.setCheckable
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,mfd_to_pandas,turtle,turtle,pd.DataFrame
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_analysis_coarse,inspect,inspect,np.average
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_s.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,asyncio,asyncio,show_names_action.setChecked
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.figure
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_to_pandas,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.link_analysis_coarse
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_v.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,show_names_action.triggered.connect
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.title
apps/UXsim/uxsim/utils.py,uxsim.utils,catch_exceptions_and_warn,aifc,aifc,warnings.simplefilter
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,_operator,_operator,len
apps/UXsim/uxsim/utils.py,uxsim.utils,wrapper,apps/UXsim/uxsim/utils.py,uxsim.utils,func
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_lane.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_to_pandas,turtle,turtle,out.append
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,_operator,_operator,range
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,turtle,turtle,origs.append
apps/UXsim/uxsim/utils.py,uxsim.utils,wrapper,contextlib,contextlib,functools.wraps
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,aifc,aifc,warnings.warn
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_t.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,optparse,optparse,menu_bar.addMenu
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,_operator,_operator,len
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_state.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.get_nearest_node
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_to_pandas,turtle,turtle,pd.DataFrame
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,_operator,_operator,len
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_visualize,turtle,turtle,plt.plot
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_analysis_coarse,turtle,turtle,np.std
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_link.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim.Vehicle,menu_Vehicle.addAction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_traffic_state_to_pandas,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.compute_edie_state
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,turtle,turtle,dests.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,inspect,inspect,s.W.VEHICLES.values
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_x.append
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_visualize,turtle,turtle,plt.text
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,action_show_vehicle.triggered.connect
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.plot
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,get_on_taxi,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.taxi.add_dest
apps/UXsim/uxsim/utils.py,uxsim.utils,wrapper,asyncio,asyncio,sys._getframe
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_visualize,turtle,turtle,plt.xlim
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.xlabel
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_v.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.get_nearest_node
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_visualize,turtle,turtle,plt.ylim
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_traffic_state_to_pandas,_operator,_operator,range
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,apps/UXsim/uxsim/utils.py,uxsim.utils,lange
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.ylabel
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_lane.append
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,optparse,optparse,menu_bar.addMenu
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,numpy,numpy,np.linspace
apps/UXsim/uxsim/utils.py,uxsim.utils,wrapper,turtle,turtle,traceback.extract_stack
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_visualize,turtle,turtle,plt.show
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,++imported++,scipy.sparse.csgraph,floyd_warshall
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.legend
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_traffic_state_to_pandas,_operator,_operator,range
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_s.append
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_visualize,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,plt.savefig
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.figure
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,menu_Animation.addAction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,s.W.get_link
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_s.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,numpy,numpy,W.rng.choice
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_traffic_state_to_pandas,turtle,turtle,out.append
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_visualize,asyncio,asyncio,plt.close
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,++imported++,scipy.sparse.csgraph,floyd_warshall
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.title
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,action_csv.triggered.connect
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_traffic_state_to_pandas,turtle,turtle,pd.DataFrame
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.tss.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,od_analysis,inspect,inspect,s.W.VEHICLES.values
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,_operator,_operator,range
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,numpy,numpy,W.rng.choice
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,inspect,inspect,enumerate
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,self.W.analyzer.output_data
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,__init__,imaplib,imaplib,random.seed
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.xss.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_t_link.append
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,_operator,_operator,len
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.ls.append
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_cumulative_to_pandas,_operator,_operator,range
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,menu_Animation.addAction
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,record_log,asyncio,asyncio,s.log_t_link.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,builtins,builtins,zip
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.cs.append
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,turtle,turtle,str
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,action_network_anim_detailed0.triggered.connect
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_cumulative_to_pandas,turtle,turtle,out.append
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,add_trip_request,_operator,_operator,len
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.names.append
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.plot
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,add_trip_request,turtle,turtle,s.trip_requests.append
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.addNode
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,link_cumulative_to_pandas,turtle,turtle,pd.DataFrame
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,self.W.analyzer.network_anim
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.xlabel
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,add_trip_request,apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler.TripRequest,TripRequest
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.tss.l.tss.append
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,turtle,turtle,str
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.ylabel
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,__init__,lzma,lzma,np.zeros
apps/UXsim/uxsim/TaxiHandler/TaxiHandler.py,uxsim.TaxiHandler.TaxiHandler,add_trip_request,turtle,turtle,s.trip_requests_all.append
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,numpy,numpy,W.rng.choice
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,menu_Animation.addAction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.xss.l.xss.append
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,inspect,inspect,enumerate
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.legend
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_area2area2,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.addVehicle
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,output_data,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.basic_to_pandas.to_csv
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,action_network_anim_detailed1.triggered.connect
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,apps/UXsim/uxsim/utils.py,uxsim.utils,lange
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,__init__,_operator,_operator,len
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_link_stats,turtle,turtle,plt.show
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,output_data,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.basic_to_pandas
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,__init__,_operator,_operator,len
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,self.W.analyzer.network_anim
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,_operator,_operator,len
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,turtle,turtle,str
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,output_data,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_to_pandas.to_csv
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_vehicle_stats,asyncio,asyncio,s.route_log.s.route_log.keys
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_edie_state,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.compute_accurate_traj
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,__init__,lzma,lzma,np.zeros
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.addLink
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,lzma,lzma,menu_Animation.addAction
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,output_data,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.od_to_pandas
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,output_data,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.mfd_to_pandas.to_csv
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,action_network_anim_fancy.triggered.connect
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,adddemand_nodes2nodes2,builtins,builtins,int
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,turtle,turtle,str
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,__init__,_operator,_operator,len
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.xss.l.xss.insert
apps/UXsim/uxsim/DTAsolvers/DTAsolvers.py,uxsim.DTAsolvers.DTAsolvers,plot_vehicle_stats,_operator,_operator,len
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,output_data,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.mfd_to_pandas
apps/UXsim/uxsim/OSMImporter/OSMImporter.py,uxsim.OSMImporter.OSMImporter,osm_network_to_World,turtle,turtle,str
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,__init__,_operator,_operator,len
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,self.W.analyzer.network_fancy
apps/UXsim/uxsim/OSMImporter2/OSMImporter2.py,uxsim.OSMImporter2.OSMImporter2,_attach_osm_nodes_links,aifc,aifc,warnings.warn
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,compute_accurate_traj,turtle,turtle,l.tss.l.tss.insert
apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,output_data,apps/UXsim/uxsim/analyzer.py,uxsim.analyzer,s.link_to_pandas.to_csv
apps/UXsim/uxsim/ResultGUIViewer/ResultGUIViewer.py,uxsim.ResultGUIViewer.ResultGUIViewer,__init__,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,self.update_graph
apps/UXsim/uxsim/OSMImporter2/OSMImporter2.py,uxsim.OSMImporter2.OSMImporter2,_attach_osm_nodes_links,apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,W.addLink
apps/UXsim/uxsim/uxsim.py,uxsim.uxsim,__init__,lzma,lzma,np.zeros
